Vcell	Icell	measured	regon	time
3.38	2700	2620	0	 0.64
3.43	2700	2802	0	 1.08
3.47	2700	2398	0	 1.53
3.50	2700	2398	0	 1.97
3.49	2700	2397	0	 2.43
3.51	2700	2333	0	 2.87
3.46	2700	2397	0	 3.30
3.51	2700	2528	0	 3.74
3.51	2700	2286	0	 4.18
3.53	2700	2329	0	 4.61
3.49	2700	2584	0	 5.09
3.50	2700	2347	0	 5.53
3.48	2700	2514	0	 5.98
3.54	2700	2772	0	 6.41
3.49	2700	2610	0	 6.86
3.49	2700	2586	0	 7.29
3.51	2700	2859	0	 7.72
3.53	2700	2959	0	 8.15
3.51	2700	2873	0	 8.59
3.49	2700	2955	0	 9.03
3.51	2700	2854	0	 9.47
3.48	2700	2737	0	 9.92
3.48	2700	2768	0	10.37
3.56	2700	2774	0	10.81
3.53	2700	2729	0	11.26
3.50	2700	3060	0	11.71
3.57	2700	2939	0	12.15
3.51	2700	2767	0	12.60
3.58	2700	2855	0	13.05
3.55	2700	2711	0	13.49
3.55	2700	2672	0	13.96
3.48	2700	2609	0	14.40
3.53	2700	2795	0	14.85
3.56	2700	2864	0	15.30
3.56	2700	2739	0	15.74
3.59	2700	2895	0	16.19
3.57	2700	2772	0	16.64
3.61	2700	2503	0	17.09
3.57	2700	2697	0	17.53
3.60	2700	2883	0	17.98
3.53	2700	2759	0	18.42
3.55	2700	2600	0	18.87
3.62	2700	2655	0	19.32
3.55	2700	2727	0	19.75
3.59	2700	2704	0	20.19
3.59	2700	2577	0	20.65
3.64	2700	2609	0	21.10
3.59	2700	2699	0	21.54
3.61	2700	2657	0	21.99
3.59	2700	2650	0	22.43
3.63	2700	2741	0	22.88
3.62	2700	2693	0	23.32
3.62	2700	2476	0	23.77
3.61	2700	2558	0	24.22
3.60	2700	2757	0	24.67
3.61	2700	2514	0	25.10
3.64	2700	2738	0	25.55
3.61	2700	2555	0	26.00
3.64	2700	2561	0	26.44
3.61	2700	2630	0	26.89
3.63	2700	2591	0	27.34
3.59	2700	2635	0	27.78
3.61	2700	2637	0	28.23
3.60	2700	2623	0	28.68
3.60	2700	2726	0	29.12
3.66	2700	2781	0	29.57
3.63	2700	2691	0	30.01
3.59	2700	2740	0	30.46
3.63	2700	2704	0	30.91
3.63	2700	2568	0	31.36
3.66	2700	2657	0	31.80
3.60	2700	2536	0	32.25
3.61	2700	2735	0	32.69
3.63	2700	2630	0	33.14
3.62	2700	2632	0	33.58
3.65	2700	2766	0	34.03
3.62	2700	2564	0	34.48
3.67	2700	2629	0	34.92
3.66	2700	2669	0	35.37
