Vcell	Icell	measured	regon	time
2.93646	1890.00	2209.51	0	0.576
3.02788	1890.00	1858.51	0	1.021
3.05049	1890.00	1999.29	0	1.471
3.09097	1890.00	1991.78	0	1.916
3.11433	1890.00	2060.29	0	2.366
3.14839	1890.00	1896.05	0	2.813
3.14836	1890.00	2004.92	0	3.258
3.15650	1890.00	1992.72	0	3.705
3.17394	1890.00	2146.63	0	4.134
3.18472	1890.00	1794.70	0	4.580
3.16875	1890.00	1928.90	0	5.027
3.19719	1890.00	1833.17	0	5.472
3.20481	1890.00	1950.49	0	5.903
3.21405	1890.00	1963.63	0	6.361
3.22290	1890.00	1917.64	0	6.872
3.21540	1890.00	1773.11	0	7.321
3.23018	1890.00	1902.62	0	7.764
3.23810	1890.00	1782.50	0	8.209
3.24618	1890.00	1888.55	0	8.642
3.24776	1890.00	1942.98	0	9.072
3.25831	1890.00	2274.27	0	9.502
3.26769	1890.00	1849.13	0	9.949
3.27503	1890.00	1941.10	0	10.393
3.26677	1890.00	1894.18	0	10.828
3.26678	1890.00	2009.61	0	11.260
3.28178	1890.00	1974.89	0	11.706
3.27142	1890.00	1949.55	0	12.158
3.28149	1890.00	1919.52	0	12.600
3.28432	1890.00	1942.04	0	13.034
3.29305	1890.00	1958.93	0	13.480
3.29613	1890.00	1892.30	0	13.927
3.29251	1890.00	1972.07	0	14.361
3.30994	1890.00	1988.03	0	14.805
3.31587	1890.00	1971.13	0	15.236
3.29841	1890.00	2032.14	0	15.680
3.29987	1890.00	1907.32	0	16.111
3.30521	1890.00	1912.95	0	16.556
3.31443	1890.00	2038.71	0	17.001
3.31339	1890.00	1939.22	0	17.435
3.32748	1890.00	1933.59	0	17.882
3.32556	1890.00	2016.18	0	18.340
3.32718	1890.00	1934.53	0	18.787
3.32374	1890.00	2085.63	0	19.233
3.32471	1890.00	1981.46	0	19.665
3.33502	1890.00	1865.08	0	20.110
3.32808	1890.00	1959.87	0	20.555
3.33271	1890.00	1864.14	0	21.000
3.31857	1890.00	1922.33	0	21.447
3.33869	1890.00	1815.34	0	21.876
3.33720	1890.00	1891.36	0	22.304
3.34611	1890.00	1925.15	0	22.751
3.36247	1890.00	1949.55	0	23.196
3.35498	1890.00	2027.44	0	23.641
3.34229	1890.00	1884.79	0	24.072
3.35975	1890.00	1922.33	0	24.519
3.35277	1890.00	1867.90	0	24.964
3.36446	1890.00	1888.55	0	25.411
3.36629	1890.00	1889.48	0	25.863
3.37112	1890.00	1952.36	0	26.295
3.36916	1890.00	1856.64	0	26.739
3.37565	1890.00	1851.94	0	27.191
3.37310	1890.00	1952.36	0	27.637
3.37760	1890.00	1938.29	0	28.082
3.37833	1890.00	1939.22	0	28.529
3.37804	1890.00	1856.64	0	28.974
3.38989	1890.00	1975.83	0	29.420
3.37553	1890.00	1938.29	0	29.865
3.38235	1890.00	1942.04	0	30.310
3.39893	1890.00	1935.47	0	30.760
3.39266	1890.00	1880.10	0	31.208
3.39724	1890.00	1903.56	0	31.657
3.39951	1890.00	1864.14	0	32.087
3.39696	1890.00	1910.13	0	32.534
3.39535	1890.00	1957.06	0	32.978
3.39226	1890.00	1875.41	0	33.412
3.39034	1890.00	1942.04	0	33.858
3.40827	1890.00	1979.58	0	34.309
3.40511	1890.00	1876.35	0	34.762
3.41174	1890.00	1898.87	0	35.206
3.40643	1890.00	1897.93	0	35.640
3.41337	1890.00	1829.42	0	36.084
3.41242	1890.00	1860.39	0	36.502
3.41040	1890.00	1909.19	0	36.952
3.40984	1890.00	1870.71	0	37.383
3.42580	1890.00	1910.13	0	37.842
3.42948	1890.00	1866.96	0	38.295
3.42100	1890.00	1922.33	0	38.746
3.42359	1890.00	1846.31	0	39.190
3.42717	1890.00	1806.90	0	39.640
3.42819	1890.00	1923.27	0	40.084
3.43206	1890.00	1893.24	0	40.533
3.42192	1890.00	1934.53	0	40.980
3.43189	1890.00	1871.65	0	41.426
3.42328	1890.00	1920.45	0	41.887
3.44158	1890.00	1925.15	0	42.317
3.43365	1890.00	1934.53	0	42.765
3.43779	1890.00	1929.84	0	43.192
3.43848	1890.00	1922.33	0	43.640
3.44157	1890.00	1850.07	0	44.087
3.44402	1890.00	1868.84	0	44.531
3.45818	1890.00	1883.85	0	44.977
3.44444	1890.00	1835.99	0	45.410
3.44634	1890.00	1875.41	0	45.856
3.44753	1890.00	1871.65	0	46.302
3.45021	1890.00	1868.84	0	46.747
3.45103	1890.00	1874.47	0	47.204
3.45185	1890.00	1871.65	0	47.649
3.45393	1890.00	1871.65	0	48.081
3.45586	1890.00	1871.65	0	48.512
3.45638	1890.00	1876.35	0	48.957
3.45801	1890.00	1871.65	0	49.388
3.45987	1890.00	1869.78	0	49.836
3.46084	1890.00	1870.71	0	50.281
3.46270	1890.00	1870.71	0	50.727
3.46419	1890.00	1869.78	0	51.156
3.46508	1890.00	1876.35	0	51.601
3.46635	1890.00	1875.41	0	52.047
3.46902	1890.00	1874.47	0	52.480
3.47006	1890.00	1871.65	0	52.925
3.47021	1890.00	1864.14	0	53.357
3.47274	1890.00	1873.53	0	53.790
3.47475	1890.00	1868.84	0	54.244
3.47482	1890.00	1871.65	0	54.677
3.47639	1890.00	1866.96	0	55.122
3.47877	1890.00	1875.41	0	55.568
3.47958	1890.00	1877.28	0	56.013
3.47988	1890.00	1870.71	0	56.443
3.48189	1890.00	1876.35	0	56.874
3.48449	1890.00	1869.78	0	57.321
3.48434	1890.00	1870.71	0	57.766
3.48568	1890.00	1870.71	0	58.213
3.48844	1890.00	1872.59	0	58.660
3.48910	1890.00	1871.65	0	59.104
3.48955	1890.00	1869.78	0	59.540
3.49186	1890.00	1873.53	0	59.985
3.49304	1890.00	1873.53	0	60.430
3.49356	1890.00	1870.71	0	60.885
3.49483	1890.00	1874.47	0	61.332
3.49721	1890.00	1871.65	0	61.778
3.49877	1890.00	1870.71	0	62.225
3.49899	1890.00	1870.71	0	62.670
3.50063	1890.00	1873.53	0	63.117
3.50272	1890.00	1866.02	0	63.565
3.50353	1890.00	1868.84	0	64.012
3.50413	1890.00	1870.71	0	64.459
3.50599	1890.00	1871.65	0	64.896
3.50725	1890.00	1868.84	0	65.340
3.50844	1890.00	1867.90	0	65.787
3.50896	1890.00	1870.71	0	66.237
3.51008	1890.00	1873.53	0	66.670
3.51171	1890.00	1870.71	0	67.101
3.51320	1890.00	1870.71	0	67.534
3.51365	1890.00	1866.96	0	67.978
3.51506	1890.00	1870.71	0	68.429
3.51662	1890.00	1869.78	0	68.873
