Vcell	Icell	measured	regon	time
3.29525	1890.00	1851.94	0	0.602
3.36094	1890.00	1903.56	0	1.167
3.37298	1890.00	1937.35	0	1.662
3.37537	1890.00	1956.12	0	2.130
3.38111	1890.00	1819.10	0	2.586
3.39459	1890.00	1961.75	0	3.030
3.40328	1890.00	1855.70	0	3.476
3.39895	1890.00	1854.76	0	3.927
3.40063	1890.00	1887.61	0	4.373
3.39921	1890.00	1809.71	0	4.806
3.40031	1890.00	1892.30	0	5.258
3.41265	1890.00	1944.86	0	5.697
3.41375	1890.00	1857.58	0	6.145
3.40082	1890.00	1914.82	0	6.601
3.41474	1890.00	1862.27	0	7.048
3.41821	1890.00	1855.70	0	7.495
3.41628	1890.00	1899.81	0	7.941
3.42245	1890.00	1879.16	0	8.387
3.42597	1890.00	1857.58	0	8.832
3.42484	1890.00	1860.39	0	9.278
3.42813	1890.00	1862.27	0	9.726
3.42849	1890.00	1873.53	0	10.157
3.43094	1890.00	1870.71	0	10.604
3.43310	1890.00	1870.71	0	11.050
3.43534	1890.00	1871.65	0	11.518
3.43675	1890.00	1875.41	0	11.967
3.43823	1890.00	1869.78	0	12.411
3.43957	1890.00	1876.35	0	12.858
3.44135	1890.00	1869.78	0	13.303
3.44367	1890.00	1868.84	0	13.751
3.44567	1890.00	1871.65	0	14.185
3.44663	1890.00	1871.65	0	14.637
3.44932	1890.00	1871.65	0	15.077
3.45133	1890.00	1865.08	0	15.509
3.45207	1890.00	1869.78	0	16.117
3.45438	1890.00	1873.53	0	16.568
3.45564	1890.00	1872.59	0	17.014
3.45683	1890.00	1876.35	0	17.463
3.45838	1890.00	1868.84	0	17.909
3.46040	1890.00	1865.08	0	18.357
3.46136	1890.00	1872.59	0	18.818
3.46300	1890.00	1871.65	0	19.264
3.46590	1890.00	1866.96	0	19.710
3.46642	1890.00	1870.71	0	20.156
3.46760	1890.00	1876.35	0	20.602
3.47029	1890.00	1866.96	0	21.047
3.47140	1890.00	1879.16	0	21.492
3.47229	1890.00	1864.14	0	21.939
3.47460	1890.00	1868.84	0	22.385
3.47594	1890.00	1867.90	0	22.832
3.47728	1890.00	1868.84	0	23.277
3.47839	1890.00	1875.41	0	23.725
3.48010	1890.00	1870.71	0	24.172
3.48197	1890.00	1874.47	0	24.618
3.48248	1890.00	1871.65	0	25.065
3.48427	1890.00	1881.04	0	25.513
3.48606	1890.00	1874.47	0	25.959
3.48687	1890.00	1877.28	0	26.404
3.48828	1890.00	1868.84	0	26.849
3.48895	1890.00	1866.96	0	27.297
3.49111	1890.00	1866.96	0	27.742
3.49237	1890.00	1873.53	0	28.188
3.49394	1890.00	1873.53	0	28.635
3.49565	1890.00	1870.71	0	29.081
3.49654	1890.00	1872.59	0	29.528
3.49855	1890.00	1872.59	0	29.968
3.49929	1890.00	1872.59	0	30.413
3.49995	1890.00	1872.59	0	30.859
3.50130	1890.00	1873.53	0	31.307
3.50301	1890.00	1877.28	0	31.753
3.50510	1890.00	1868.84	0	32.199
3.50531	1890.00	1868.84	0	32.642
3.50635	1890.00	1870.71	0	33.102
3.50874	1890.00	1868.84	0	33.538
3.50963	1890.00	1872.59	0	33.985
3.51111	1890.00	1869.78	0	34.434
3.51305	1890.00	1873.53	0	34.879
3.51462	1890.00	1872.59	0	35.326
3.51416	1890.00	1874.47	0	35.771
3.51595	1890.00	1873.53	0	36.201
3.51677	1890.00	1874.47	0	36.632
3.51856	1890.00	1866.02	0	37.065
3.51900	1890.00	1881.04	0	37.494
3.52079	1890.00	1877.28	0	37.945
3.52228	1890.00	1875.41	0	38.395
3.52212	1890.00	1873.53	0	38.840
3.52406	1890.00	1860.39	0	39.274
3.52562	1890.00	1870.71	0	39.723
3.52629	1890.00	1871.65	0	40.170
3.52785	1890.00	1871.65	0	40.600
3.52837	1890.00	1871.65	0	41.049
3.52889	1890.00	1871.65	0	41.499
3.53008	1890.00	1857.58	0	41.945
3.53276	1890.00	1866.96	0	42.395
3.53351	1890.00	1869.78	0	42.833
3.53454	1890.00	1877.28	0	43.278
3.53581	1890.00	1872.59	0	43.718
3.53663	1890.00	1869.78	0	44.166
3.53782	1890.00	1873.53	0	44.597
3.53848	1890.00	1868.84	0	45.055
3.54012	1890.00	1870.71	0	45.499
3.54161	1890.00	1872.59	0	45.943
3.54318	1890.00	1874.47	0	46.390
3.54242	1890.00	1868.84	0	46.837
3.54428	1890.00	1869.78	0	47.282
3.54577	1890.00	1881.04	0	47.728
3.54674	1890.00	1870.71	0	48.172
3.54793	1890.00	1872.59	0	48.601
3.54883	1890.00	1873.53	0	49.032
3.54949	1890.00	1868.84	0	49.478
3.55180	1890.00	1875.41	0	49.912
3.55209	1890.00	1873.53	0	50.357
3.55262	1890.00	1870.71	0	50.802
3.55395	1890.00	1867.90	0	51.249
3.55567	1890.00	1873.53	0	51.696
3.55633	1890.00	1875.41	0	52.143
3.55775	1890.00	1873.53	0	52.590
3.55872	1890.00	1866.96	0	53.034
3.55953	1890.00	1874.47	0	53.481
3.56072	1890.00	1869.78	0	53.909
3.56102	1890.00	1873.53	0	54.356
3.56311	1890.00	1871.65	0	54.773
3.56355	1890.00	1867.90	0	55.208
3.56474	1890.00	1873.53	0	55.655
3.56571	1890.00	1867.90	0	56.106
3.56727	1890.00	1869.78	0	56.552
3.56734	1890.00	1871.65	0	56.999
3.56823	1890.00	1870.71	0	57.444
3.56957	1890.00	1866.96	0	57.890
3.57032	1890.00	1879.16	0	58.338
3.57098	1890.00	1876.35	0	58.783
