Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.055716	0.101606	0.142721	3.888528	0.234902
0.000000	0.292557	0.097852	0.375335	3.889126	0.467866
0.000000	0.526624	0.101606	0.608908	3.888826	0.703467
0.000000	0.760862	0.104422	0.844634	3.887932	0.937681
0.000000	0.997146	0.099729	1.078645	3.888753	1.171760
0.000000	1.232347	0.099729	1.312130	3.889496	1.404869
0.000000	1.461303	0.103483	1.545771	3.888378	1.638096
0.000000	1.693678	0.099729	1.779308	3.889571	1.872415
0.000000	1.927833	0.100668	2.014481	3.889050	2.106042
0.000000	2.162484	0.106299	2.248360	3.890160	2.339475
0.000000	2.396643	0.104422	2.481610	3.888749	2.573922
0.000000	2.634380	0.104422	2.720913	3.889121	2.813361
0.000000	2.868515	0.097852	2.957887	3.889200	3.049002
39.222702	3.105526	0.111930	3.190142	3.895879	3.282451
39.222702	3.336539	0.116622	3.424642	3.896395	3.515309
39.222702	3.571117	0.112868	3.657920	3.896621	3.749962
39.222702	3.804534	0.109114	3.891251	3.897293	3.983948
39.222702	4.041360	0.109114	4.124987	3.896996	4.216802
39.222702	4.273644	0.107237	4.358950	3.897592	4.453643
39.222702	4.512166	0.111930	4.594294	3.897217	4.690034
39.222702	4.745890	0.103483	4.831394	3.897967	4.924473
39.222702	4.980597	0.105360	5.066150	3.897742	5.160844
39.222702	5.216861	0.112868	5.301921	3.896844	5.393320
39.222702	5.449955	0.106299	5.539437	3.897742	5.630267
39.222702	5.687771	0.109114	5.790462	3.897442	5.883590
39.222702	5.940677	0.104422	6.025831	3.897743	6.118204
65.547789	6.175577	0.128823	6.259001	3.900177	6.352331
65.547789	6.409689	0.129761	6.496004	3.900845	6.586973
65.547789	6.643602	0.119438	6.730324	3.901894	6.821823
65.547789	6.877203	0.128823	6.965662	3.900028	7.057175
65.547789	7.113696	0.111930	7.198946	3.901974	7.290452
65.547789	7.347232	0.123192	7.433915	3.901370	7.525494
65.547789	7.582388	0.126946	7.668066	3.900624	7.760737
65.547789	7.816425	0.126946	7.901717	3.901144	7.995014
65.547789	8.051981	0.132576	8.136431	3.900545	8.209178
65.547789	8.267214	0.126946	8.371756	3.901293	8.451100
65.547789	8.506840	0.118499	8.594274	3.902266	8.684746
65.547789	8.741975	0.124130	8.829572	3.901741	8.924850
65.547789	8.981782	0.128823	9.066429	3.901737	9.157834
17.118669	9.214084	0.096913	9.300643	3.894925	9.392083
17.118669	9.450967	0.095975	9.534640	3.894925	9.626634
17.118669	9.683090	0.095975	9.767631	3.894331	9.860735
17.118669	9.918123	0.095975	10.002929	3.894182	10.094367
17.118669	10.150197	0.095975	10.235449	3.894256	10.328970
17.118669	10.386461	0.097852	10.471066	3.894181	10.562545
17.118669	10.619193	0.096913	10.704873	3.893958	10.797388
17.118669	10.854520	0.096913	10.939966	3.894330	11.032100
17.118669	11.089124	0.095975	11.177231	3.894256	11.268622
17.118669	11.325990	0.095975	11.410659	3.894108	11.501326
17.118669	11.558487	0.096913	11.645006	3.894033	11.735945
17.118669	11.792557	0.095975	11.880827	3.893736	11.972406
17.118669	12.027300	0.096913	12.115596	3.894330	12.206371
70.604609	12.261450	0.124130	12.349232	3.900626	12.440741
70.604609	12.497224	0.125068	12.582962	3.900923	12.676554
70.604609	12.734321	0.120376	12.820749	3.901373	12.911608
70.604609	12.967033	0.130699	13.055616	3.901364	13.149029
70.604609	13.206360	0.117560	13.289675	3.901746	13.382204
70.604609	13.439083	0.120376	13.523254	3.902339	13.616006
70.604609	13.672623	0.122253	13.757145	3.902635	13.850252
70.604609	13.906808	0.129761	13.991497	3.900993	14.085360
70.604609	14.141576	0.112868	14.227941	3.903014	14.320550
70.604609	14.376636	0.128823	14.462419	3.901589	14.553463
70.604609	14.608695	0.118499	14.696599	3.902043	14.789053
70.604609	14.846555	0.126946	14.931158	3.901962	15.021329
70.604609	15.078029	0.124130	15.164953	3.902261	15.255751
3.183285	15.316290	0.099729	15.401049	3.891280	15.493770
3.183285	15.548253	0.104422	15.633943	3.890756	15.726501
3.183285	15.783099	0.098791	15.867783	3.890389	15.960745
3.183285	16.018500	0.103483	16.103939	3.890014	16.195763
3.183285	16.253394	0.098791	16.337491	3.889869	16.427894
3.183285	16.484141	0.099729	16.570350	3.890983	16.663037
3.183285	16.720336	0.097852	16.806785	3.890464	16.896765
3.183285	16.954707	0.103483	17.040455	3.890088	17.130822
3.183285	17.187674	0.106299	17.273782	3.889194	17.364766
3.183285	17.421276	0.102544	17.506870	3.890535	17.599632
3.183285	17.656632	0.103483	17.745200	3.890385	17.837662
3.183285	17.895371	0.099729	17.981301	3.890314	18.071780
3.183285	18.128279	0.100668	18.217191	3.889718	18.309470
27.692298	18.366402	0.095975	18.451917	3.893959	18.545001
27.692298	18.602172	0.095975	18.688021	3.893959	18.778673
27.692298	18.835991	0.095975	18.921173	3.894331	19.013851
27.692298	19.068679	0.095975	19.156135	3.894033	19.247744
27.692298	19.303242	0.095975	19.391966	3.894554	19.482898
