Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.005298	0.098791	0.087968	3.150805	0.179714
0.000000	0.187687	0.098791	0.290338	3.151697	0.383487
0.000000	0.394288	0.101606	0.495703	3.151621	0.586690
0.000000	0.595221	0.102544	0.679248	3.151174	0.769854
0.000000	0.780766	0.100668	0.882577	3.151324	0.973878
0.000000	0.985968	0.103483	1.084147	3.151173	1.174955
0.000000	1.183911	0.099729	1.265693	3.150656	1.357837
0.000000	1.366272	0.102544	1.468971	3.151174	1.560999
0.000000	1.569473	0.098791	1.650425	3.151623	1.742980
0.000000	1.750980	0.096913	1.848084	3.152145	1.939980
0.000000	1.948271	0.100668	2.033042	3.151622	2.127887
0.000000	2.137362	0.100668	2.235155	3.151547	2.326484
0.000000	2.334167	0.101606	2.416413	3.150655	2.510475
0.000000	2.518876	0.100668	2.604302	3.152439	2.698545
0.000000	2.705353	0.099729	2.802747	3.150507	2.896384
0.000000	2.903774	0.097852	2.989468	3.151029	3.080962
0.000000	3.091674	0.102544	3.174168	3.150877	3.269813
0.000000	3.278225	0.100668	3.361528	3.150730	3.461413
0.000000	3.469988	0.102544	3.573736	3.150951	3.664680
0.000000	3.672422	0.099729	3.754986	3.151399	3.847616
0.000000	3.857212	0.105360	3.938670	3.150949	4.030618
0.000000	4.039965	0.101606	4.122533	3.150729	4.212699
0.000000	4.222379	0.097852	4.304890	3.152739	4.396270
0.000000	4.403480	0.099729	4.486301	3.151399	4.579132
0.000000	4.585555	0.099729	4.669446	3.151994	4.762759
0.000000	4.771042	0.099729	4.855414	3.152737	4.946158
0.000000	4.950776	0.102544	5.038573	3.151174	5.131457
0.000000	5.139864	0.098791	5.223177	3.151103	5.315971
0.000000	5.323303	0.101606	5.406164	3.150506	5.498119
0.000000	5.506336	0.097852	5.589312	3.151698	5.679992
0.000000	5.689487	0.096913	5.770563	3.152814	5.864278
0.000000	5.872844	0.098791	5.954348	3.151697	6.046900
0.000000	6.053393	0.104422	6.139867	3.151544	6.231506
0.000000	6.238295	0.097852	6.322388	3.151327	6.404468
0.000000	6.420534	0.099729	6.516886	3.151251	6.608612
0.000000	6.618080	0.100668	6.699218	3.151399	6.791177
0.000000	6.799462	0.101606	6.891020	3.151175	6.984464
0.000000	6.994752	0.101606	7.075117	3.151175	7.167303
0.000000	7.176883	0.098791	7.257911	3.152441	7.348580
0.000000	7.357337	0.096913	7.439618	3.151402	7.534504
0.000000	7.541930	0.098791	7.624953	3.151028	7.716641
0.000000	7.724954	0.099729	7.809407	3.152291	7.902391
0.000000	7.912403	0.099729	8.013523	3.151697	8.091564
0.000000	8.098464	0.097852	8.183268	3.151772	8.275244
0.000000	8.282973	0.100668	8.368056	3.151176	8.460927
0.000000	8.469030	0.099729	8.550547	3.150805	8.643621
0.000000	8.650559	0.100668	8.734828	3.151324	8.825777
0.000000	8.834196	0.102544	8.917578	3.152289	9.009290
0.000000	9.017025	0.098791	9.099225	3.151028	9.194847
0.000000	9.204576	0.098791	9.287480	3.151920	9.378620
0.000000	9.388069	0.100668	9.478759	3.150804	9.570787
0.000000	9.574766	0.097852	9.664014	3.151550	9.756185
0.000000	9.762778	0.103483	9.860197	3.151099	9.950544
0.000000	9.957739	0.100668	10.043664	3.150730	10.137702
0.000000	10.142861	0.100668	10.239679	3.151399	10.332432
0.000000	10.341512	0.098791	10.424568	3.151326	10.520411
0.000000	10.528548	0.101606	10.628376	3.152290	10.721594
0.000000	10.728520	0.099729	10.814742	3.152068	10.905860
0.000000	10.913329	0.099729	10.999609	3.152217	11.093395
0.000000	11.101378	0.097852	11.198274	3.151847	11.288914
0.000000	11.296253	0.097852	11.382746	3.152367	11.476337
0.000000	11.485903	0.100668	11.566840	3.151473	11.662656
0.000000	11.670942	0.098791	11.774634	3.151474	11.866916
0.000000	11.877199	0.104422	11.957619	3.151767	12.052472
0.000000	12.058975	0.100668	12.144451	3.151324	12.235574
0.000000	12.243081	0.102544	12.326645	3.150951	12.420429
0.000000	12.424589	0.098791	12.514611	3.152069	12.606092
0.000000	12.613701	0.097852	12.697499	3.150732	12.788200
0.000000	12.795448	0.098791	12.881167	3.152069	12.971557
0.000000	12.980300	0.100668	13.063424	3.151845	13.154726
0.000000	13.162585	0.105360	13.245819	3.151321	13.336834
0.000000	13.344957	0.102544	13.426835	3.151471	13.520599
0.000000	13.526670	0.099729	13.615573	3.151176	13.707516
0.000000	13.715558	0.101606	13.798446	3.151547	13.890783
0.000000	13.897647	0.095975	13.984334	3.151625	14.078066
0.000000	14.086735	0.099729	14.169000	3.151994	14.262812
0.000000	14.271192	0.100668	14.369869	3.151770	14.463090
0.000000	14.472474	0.098791	14.554037	3.152218	14.648025
0.000000	14.655040	0.100668	14.741551	3.152291	14.834149
0.000000	14.842713	0.099729	14.939365	3.151251	15.032197
0.000000	15.040817	0.096913	15.122703	3.151922	15.216510
