Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.100872	0.000000	0.000000	3.646536	0.135447
0.000000	0.201732	0.000000	0.000000	3.646536	0.228967
0.000000	0.302181	0.000000	0.000000	3.645645	0.349933
0.000000	0.403041	0.000000	0.000000	3.645645	0.450562
0.000000	0.503490	0.000000	0.000000	3.647131	0.530820
0.000000	0.603894	0.000000	0.000000	3.645347	0.657855
0.000000	0.704246	0.000000	0.000000	3.645942	0.738753
0.000000	0.804703	0.000000	0.000000	3.645347	0.839605
0.000000	0.904760	0.000000	0.000000	3.646834	0.962884
0.000000	1.005680	0.000000	0.000000	3.645645	1.046248
0.000000	1.106030	0.000000	0.000000	3.646834	1.147008
0.000000	1.206154	0.000000	0.000000	3.645942	1.246817
0.000000	1.306517	0.000000	0.000000	3.646239	1.349536
0.000000	1.406939	0.000000	0.000000	3.646834	1.450237
0.000000	1.507730	0.000000	0.000000	3.645645	1.552517
0.000000	1.608384	0.000000	0.000000	3.646239	1.653130
0.000000	1.708964	0.000000	0.000000	3.646239	1.753642
0.000000	1.809958	0.000000	0.000000	3.646239	1.854893
0.000000	1.910568	0.000000	0.000000	3.646239	1.956049
0.000000	2.011550	0.000000	0.000000	3.647131	2.058517
0.000000	2.111714	0.000000	0.000000	3.645645	2.137865
0.000000	2.212156	0.000000	0.000000	3.645645	2.268144
0.000000	2.312356	0.000000	0.000000	3.646536	2.349242
0.000000	2.413283	0.000000	0.000000	3.646239	2.450281
0.000000	2.513523	0.000000	0.000000	3.645942	2.571765
0.000000	2.614538	0.000000	0.000000	3.646239	2.656042
0.000000	2.715227	0.000000	0.000000	3.645645	2.760757
0.000000	2.815602	0.000000	0.000000	3.646536	2.867102
0.000000	2.915676	0.000000	0.000000	3.646536	2.969380
0.000000	3.016657	0.000000	0.000000	3.647131	3.047036
0.000000	3.117058	0.000000	0.000000	3.646536	3.153821
0.000000	3.217820	0.000000	0.000000	3.645942	3.254314
0.000000	3.317889	0.000000	0.000000	3.646536	3.356482
0.000000	3.418635	0.000000	0.000000	3.645645	3.457235
0.000000	3.519648	0.000000	0.000000	3.646536	3.558472
0.000000	3.620549	0.000000	0.000000	3.648023	3.659184
0.000000	3.721023	0.000000	0.000000	3.645942	3.761455
0.000000	3.821421	0.000000	0.000000	3.646239	3.862266
0.000000	3.922143	0.000000	0.000000	3.645645	3.963291
0.000000	4.022439	0.000000	0.000000	3.646834	4.065109
0.000000	4.122760	0.000000	0.000000	3.646239	4.165424
0.000000	4.223008	0.000000	0.000000	3.645645	4.266658
0.000000	4.323484	0.000000	0.000000	3.646536	4.368694
0.000000	4.424476	0.000000	0.000000	3.645942	4.448324
0.000000	4.525334	0.000000	0.000000	3.646536	4.570676
0.000000	4.626246	0.000000	0.000000	3.647428	4.671184
0.000000	4.727261	0.000000	0.000000	3.645942	4.772646
0.000000	4.827521	0.000000	0.000000	3.645050	4.876738
0.000000	4.927610	0.000000	0.000000	3.645645	4.978853
0.000000	5.028535	0.000000	0.000000	3.647428	5.054472
0.000000	5.129308	0.000000	0.000000	3.646536	5.178860
0.000000	5.229522	0.000000	0.000000	3.646536	5.279119
0.000000	5.330443	0.000000	0.000000	3.647131	5.356420
0.000000	5.431113	0.000000	0.000000	3.645942	5.480366
0.000000	5.531863	0.000000	0.000000	3.646239	5.581664
0.000000	5.632788	0.000000	0.000000	3.646536	5.661038
0.000000	5.733746	0.000000	0.000000	3.646536	5.785416
0.000000	5.834411	0.000000	0.000000	3.646834	5.885783
0.000000	5.934694	0.000000	0.000000	3.646834	5.962704
0.000000	6.035238	0.000000	0.000000	3.646536	6.091301
0.000000	6.148549	0.000000	0.000000	3.646239	6.192406
0.000000	6.248823	0.000000	0.000000	3.646834	6.293965
0.000000	6.349592	0.000000	0.000000	3.647131	6.395003
0.000000	6.450221	0.000000	0.000000	3.647131	6.497373
0.000000	6.550916	0.000000	0.000000	3.646834	6.598404
0.000000	6.651664	0.000000	0.000000	3.646536	6.677707
0.000000	6.752553	0.000000	0.000000	3.645347	6.808222
0.000000	6.853463	0.000000	0.000000	3.646536	6.889520
0.000000	6.954495	0.000000	0.000000	3.646239	6.993259
0.000000	7.054760	0.000000	0.000000	3.646536	7.094075
0.000000	7.155748	0.000000	0.000000	3.647131	7.197148
0.000000	7.256726	0.000000	0.000000	3.646239	7.296421
0.000000	7.356840	0.000000	0.000000	3.646834	7.397921
0.000000	7.457189	0.000000	0.000000	3.645942	7.498989
0.000000	7.557571	0.000000	0.000000	3.647131	7.601119
0.000000	7.658221	0.000000	0.000000	3.646239	7.701100
0.000000	7.758555	0.000000	0.000000	3.647131	7.803788
0.000000	7.859236	0.000000	0.000000	3.647428	7.904640
0.000000	7.959583	0.000000	0.000000	3.646536	7.985568
0.000000	8.059837	0.000000	0.000000	3.646834	8.107354
0.000000	8.159972	0.000000	0.000000	3.645942	8.207258
0.000000	8.260979	0.000000	0.000000	3.646536	8.288998
0.000000	8.361246	0.000000	0.000000	3.646834	8.410860
0.000000	8.461606	0.000000	0.000000	3.646536	8.511448
0.000000	8.562219	0.000000	0.000000	3.645942	8.590143
0.000000	8.662595	0.000000	0.000000	3.647131	8.709393
0.000000	8.762874	0.000000	0.000000	3.646536	8.803542
0.000000	8.862971	0.000000	0.000000	3.646239	8.906086
0.000000	8.963264	0.000000	0.000000	3.646834	8.989532
0.000000	9.063844	0.000000	0.000000	3.646834	9.109052
0.000000	9.164713	0.000000	0.000000	3.647428	9.212252
0.000000	9.265295	0.000000	0.000000	3.646834	9.293338
0.000000	9.366038	0.000000	0.000000	3.647428	9.413435
0.000000	9.466899	0.000000	0.000000	3.648023	9.516446
0.000000	9.567274	0.000000	0.000000	3.647428	9.593225
0.000000	9.667963	0.000000	0.000000	3.647131	9.727966
0.000000	9.768456	0.000000	0.000000	3.646536	9.820310
0.000000	9.868767	0.000000	0.000000	3.647131	9.896962
0.000000	9.969559	0.000000	0.000000	3.646536	10.025482
0.000000	10.070192	0.000000	0.000000	3.645645	10.106975
0.000000	10.170781	0.000000	0.000000	3.647726	10.207431
0.000000	10.271584	0.000000	0.000000	3.646834	10.331000
0.000000	10.371655	0.000000	0.000000	3.647131	10.414100
0.000000	10.471776	0.000000	0.000000	3.646834	10.515062
0.000000	10.572022	0.000000	0.000000	3.647131	10.615235
0.000000	10.672133	0.000000	0.000000	3.647131	10.719388
0.000000	10.772575	0.000000	0.000000	3.645942	10.820240
0.000000	10.873543	0.000000	0.000000	3.646834	10.901624
0.000000	10.974098	0.000000	0.000000	3.647428	11.030056
0.000000	11.074808	0.000000	0.000000	3.646834	11.111232
0.000000	11.175401	0.000000	0.000000	3.646239	11.214402
0.000000	11.275959	0.000000	0.000000	3.646834	11.314707
0.000000	11.376334	0.000000	0.000000	3.648320	11.416908
0.000000	11.477179	0.000000	0.000000	3.646834	11.518178
0.000000	11.577902	0.000000	0.000000	3.648023	11.618682
0.000000	11.678304	0.000000	0.000000	3.646239	11.712605
0.000000	11.778675	0.000000	0.000000	3.647428	11.826294
0.000000	11.879078	0.000000	0.000000	3.647726	11.905414
0.000000	11.979318	0.000000	0.000000	3.647726	12.028421
0.000000	12.079970	0.000000	0.000000	3.647428	12.129067
0.000000	12.180977	0.000000	0.000000	3.646536	12.207262
0.000000	12.281263	0.000000	0.000000	3.647131	12.330615
0.000000	12.381546	0.000000	0.000000	3.647428	12.430988
0.000000	12.481770	0.000000	0.000000	3.647131	12.510254
0.000000	12.582187	0.000000	0.000000	3.647428	12.638419
0.000000	12.682954	0.000000	0.000000	3.646239	12.734821
0.000000	12.783199	0.000000	0.000000	3.647726	12.822075
0.000000	12.883789	0.000000	0.000000	3.648618	12.942279
0.000000	12.984470	0.000000	0.000000	3.646239	13.027527
0.000000	13.084618	0.000000	0.000000	3.646834	13.127587
0.000000	13.185273	0.000000	0.000000	3.646536	13.228353
0.000000	13.286057	0.000000	0.000000	3.646834	13.331137
0.000000	13.386142	0.000000	0.000000	3.647428	13.431683
0.000000	13.486201	0.000000	0.000000	3.646536	13.512192
0.000000	13.586276	0.000000	0.000000	3.647428	13.642351
0.000000	13.686826	0.000000	0.000000	3.648320	13.723392
0.000000	13.787144	0.000000	0.000000	3.646834	13.825757
0.000000	13.887925	0.000000	0.000000	3.647131	13.926882
0.000000	13.987995	0.000000	0.000000	3.647131	14.029046
0.000000	14.088653	0.000000	0.000000	3.646239	14.129495
0.000000	14.188997	0.000000	0.000000	3.647428	14.229914
0.000000	14.289455	0.000000	0.000000	3.648618	14.331974
0.000000	14.389648	0.000000	0.000000	3.646536	14.432221
0.000000	14.490503	0.000000	0.000000	3.647428	14.533384
0.000000	14.590731	0.000000	0.000000	3.647726	14.635409
0.000000	14.691251	0.000000	0.000000	3.646834	14.736595
0.000000	14.791458	0.000000	0.000000	3.647428	14.836124
0.000000	14.891572	0.000000	0.000000	3.647131	14.948710
0.000000	14.992558	0.000000	0.000000	3.647428	15.028503
0.000000	15.092958	0.000000	0.000000	3.647131	15.130851
0.000000	15.193472	0.000000	0.000000	3.647131	15.252505
0.000000	15.294001	0.000000	0.000000	3.646239	15.334767
0.000000	15.394062	0.000000	0.000000	3.647131	15.435622
0.000000	15.494136	0.000000	0.000000	3.647131	15.536881
0.000000	15.595058	0.000000	0.000000	3.647726	15.637970
0.000000	15.695603	0.000000	0.000000	3.647428	15.740613
0.000000	15.796232	0.000000	0.000000	3.648023	15.840708
0.000000	15.897121	0.000000	0.000000	3.647428	15.942024
0.000000	15.997205	0.000000	0.000000	3.647131	16.045233
0.000000	16.097234	0.000000	0.000000	3.647131	16.144636
0.000000	16.198242	0.000000	0.000000	3.646834	16.254426
0.000000	16.298974	0.000000	0.000000	3.647726	16.335709
0.000000	16.399561	0.000000	0.000000	3.647131	16.437920
0.000000	16.500485	0.000000	0.000000	3.647726	16.558729
0.000000	16.601189	0.000000	0.000000	3.646834	16.642242
0.000000	16.702052	0.000000	0.000000	3.648023	16.742971
0.000000	16.802513	0.000000	0.000000	3.648023	16.845536
0.000000	16.903135	0.000000	0.000000	3.646834	16.946155
0.000000	17.003664	0.000000	0.000000	3.646536	17.046676
0.000000	17.104637	0.000000	0.000000	3.647131	17.147629
0.000000	17.205319	0.000000	0.000000	3.648320	17.249900
0.000000	17.305755	0.000000	0.000000	3.648320	17.350808
0.000000	17.406490	0.000000	0.000000	3.647428	17.432836
0.000000	17.507054	0.000000	0.000000	3.647428	17.554367
0.000000	17.608030	0.000000	0.000000	3.646536	17.655699
0.000000	17.708107	0.000000	0.000000	3.647726	17.735746
0.000000	17.808459	0.000000	0.000000	3.647428	17.856224
0.000000	17.909482	0.000000	0.000000	3.647131	17.958754
0.000000	18.010234	0.000000	0.000000	3.648023	18.036964
0.000000	18.110451	0.000000	0.000000	3.646834	18.166789
0.000000	18.211293	0.000000	0.000000	3.648023	18.248022
0.000000	18.312000	0.000000	0.000000	3.647726	18.348818
0.000000	18.412952	0.000000	0.000000	3.649212	18.453789
0.000000	18.513942	0.000000	0.000000	3.648023	18.555184
0.000000	18.614002	0.000000	0.000000	3.647726	18.655010
0.000000	18.714557	0.000000	0.000000	3.648618	18.757900
0.000000	18.815478	0.000000	0.000000	3.647428	18.860402
0.000000	18.915711	0.000000	0.000000	3.647428	18.960819
0.000000	19.016536	0.000000	0.000000	3.647131	19.074185
