Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.101268	0.000000	0.000000	3.874878	0.145134
0.000000	0.201961	0.000000	0.000000	3.875473	0.245585
0.000000	0.302316	0.000000	0.000000	3.875770	0.345483
0.000000	0.402414	0.000000	0.000000	3.875770	0.449298
0.000000	0.502587	0.000000	0.000000	3.874581	0.551737
0.000000	0.602990	0.000000	0.000000	3.876068	0.660695
0.000000	0.703114	0.000000	0.000000	3.875473	0.741838
0.000000	0.803368	0.000000	0.000000	3.876068	0.844273
0.000000	0.903697	0.000000	0.000000	3.875176	0.944757
0.000000	1.003806	0.000000	0.000000	3.875770	1.046626
0.000000	1.104327	0.000000	0.000000	3.874878	1.147612
0.000000	1.205340	0.000000	0.000000	3.874878	1.248208
0.000000	1.307275	0.000000	0.000000	3.876365	1.344729
0.000000	1.408180	0.000000	0.000000	3.874878	1.449600
0.000000	1.508745	0.000000	0.000000	3.875176	1.549536
0.000000	1.609362	0.000000	0.000000	3.876068	1.652293
0.000000	1.709482	0.000000	0.000000	3.875770	1.752726
0.000000	1.810415	0.000000	0.000000	3.875176	1.846943
0.000000	1.910570	0.000000	0.000000	3.876068	1.966852
0.000000	2.010851	0.000000	0.000000	3.874878	2.051606
0.000000	2.111496	0.000000	0.000000	3.875176	2.152474
0.000000	2.212145	0.000000	0.000000	3.875770	2.253542
0.000000	2.312361	0.000000	0.000000	3.875473	2.361189
0.000000	2.412852	0.000000	0.000000	3.876365	2.462670
0.000000	2.513143	0.000000	0.000000	3.875770	2.539104
0.000000	2.613204	0.000000	0.000000	3.874581	2.662812
0.000000	2.713564	0.000000	0.000000	3.876068	2.765087
0.000000	2.813605	0.000000	0.000000	3.875176	2.841930
0.000000	2.913744	0.000000	0.000000	3.875473	2.971760
0.000000	3.013910	0.000000	0.000000	3.876365	3.052773
0.000000	3.114526	0.000000	0.000000	3.876959	3.153611
0.000000	3.215347	0.000000	0.000000	3.876068	3.256355
0.000000	3.315907	0.000000	0.000000	3.874878	3.356799
0.000000	3.416638	0.000000	0.000000	3.876068	3.458180
0.000000	3.517132	0.000000	0.000000	3.874581	3.558259
0.000000	3.617943	0.000000	0.000000	3.875770	3.661011
0.000000	3.718783	0.000000	0.000000	3.875176	3.761728
0.000000	3.818849	0.000000	0.000000	3.875176	3.863891
0.000000	3.919731	0.000000	0.000000	3.875770	3.965466
0.000000	4.020411	0.000000	0.000000	3.875770	4.065816
0.000000	4.120482	0.000000	0.000000	3.875473	4.148210
0.000000	4.220926	0.000000	0.000000	3.876068	4.277120
0.000000	4.321020	0.000000	0.000000	3.874878	4.362453
0.000000	4.421332	0.000000	0.000000	3.875176	4.464571
0.000000	4.522234	0.000000	0.000000	3.875473	4.565573
0.000000	4.623230	0.000000	0.000000	3.876068	4.665916
