Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.101121	0.000000	0.000000	3.399166	0.145100
0.000000	0.202040	0.000000	0.000000	3.398572	0.245343
0.000000	0.302415	0.000000	0.000000	3.400058	0.358524
0.000000	0.403389	0.000000	0.000000	3.399464	0.440032
0.000000	0.503683	0.000000	0.000000	3.398869	0.540602
0.000000	0.604322	0.000000	0.000000	3.399464	0.662661
0.000000	0.704415	0.000000	0.000000	3.399464	0.745642
0.000000	0.805352	0.000000	0.000000	3.400058	0.846341
0.000000	0.905387	0.000000	0.000000	3.399761	0.947989
0.000000	1.005570	0.000000	0.000000	3.400653	1.050235
0.000000	1.106269	0.000000	0.000000	3.399464	1.150898
0.000000	1.206584	0.000000	0.000000	3.400058	1.232816
0.000000	1.307110	0.000000	0.000000	3.399166	1.354250
0.000000	1.407851	0.000000	0.000000	3.399761	1.455429
0.000000	1.508069	0.000000	0.000000	3.399166	1.535917
0.000000	1.608875	0.000000	0.000000	3.400950	1.658448
0.000000	1.709503	0.000000	0.000000	3.397977	1.759227
0.000000	1.810007	0.000000	0.000000	3.399166	1.838032
0.000000	1.910201	0.000000	0.000000	3.398869	1.966378
0.000000	2.010271	0.000000	0.000000	3.400058	2.046459
0.000000	2.111017	0.000000	0.000000	3.398869	2.147484
0.000000	2.211607	0.000000	0.000000	3.399464	2.256408
0.000000	2.311988	0.000000	0.000000	3.398274	2.359176
0.000000	2.412661	0.000000	0.000000	3.398869	2.460141
0.000000	2.513170	0.000000	0.000000	3.400356	2.537089
0.000000	2.614122	0.000000	0.000000	3.400058	2.661357
0.000000	2.714428	0.000000	0.000000	3.399464	2.764324
0.000000	2.814451	0.000000	0.000000	3.399761	2.842873
0.000000	2.914790	0.000000	0.000000	3.398869	2.966935
0.000000	3.015027	0.000000	0.000000	3.399761	3.047998
0.000000	3.116001	0.000000	0.000000	3.400356	3.145954
0.000000	3.216225	0.000000	0.000000	3.398869	3.272317
0.000000	3.316795	0.000000	0.000000	3.399761	3.353274
0.000000	3.417765	0.000000	0.000000	3.399464	3.454494
0.000000	3.518049	0.000000	0.000000	3.400653	3.576775
0.000000	3.618956	0.000000	0.000000	3.399166	3.659794
0.000000	3.719617	0.000000	0.000000	3.400653	3.760647
0.000000	3.820242	0.000000	0.000000	3.398274	3.863399
0.000000	3.921118	0.000000	0.000000	3.398274	3.964330
0.000000	4.022125	0.000000	0.000000	3.400950	4.065165
0.000000	4.122867	0.000000	0.000000	3.399464	4.166268
0.000000	4.222939	0.000000	0.000000	3.398869	4.268065
0.000000	4.322986	0.000000	0.000000	3.399761	4.368792
0.000000	4.423570	0.000000	0.000000	3.400356	4.449076
0.000000	4.524297	0.000000	0.000000	3.399761	4.571704
0.000000	4.625056	0.000000	0.000000	3.399166	4.672200
0.000000	4.725721	0.000000	0.000000	3.399166	4.753882
0.000000	4.826584	0.000000	0.000000	3.400058	4.882327
0.000000	4.927522	0.000000	0.000000	3.399761	4.962381
0.000000	5.028317	0.000000	0.000000	3.400058	5.064053
0.000000	5.128959	0.000000	0.000000	3.399761	5.185035
0.000000	5.229519	0.000000	0.000000	3.399464	5.268415
0.000000	5.330095	0.000000	0.000000	3.400058	5.371642
0.000000	5.430476	0.000000	0.000000	3.400356	5.471607
0.000000	5.531475	0.000000	0.000000	3.400356	5.571993
0.000000	5.631696	0.000000	0.000000	3.400653	5.674512
0.000000	5.732475	0.000000	0.000000	3.400058	5.775818
0.000000	5.833516	0.000000	0.000000	3.399166	5.876260
0.000000	5.934250	0.000000	0.000000	3.399761	5.977057
0.000000	6.035195	0.000000	0.000000	3.398869	6.080090
0.000000	6.135875	0.000000	0.000000	3.397977	6.183801
0.000000	6.236578	0.000000	0.000000	3.400058	6.283937
0.000000	6.336691	0.000000	0.000000	3.399464	6.362368
0.000000	6.436838	0.000000	0.000000	3.398869	6.486695
0.000000	6.537615	0.000000	0.000000	3.400058	6.588922
0.000000	6.638204	0.000000	0.000000	3.399166	6.664122
0.000000	6.738985	0.000000	0.000000	3.399464	6.788388
0.000000	6.839321	0.000000	0.000000	3.398869	6.888595
0.000000	6.940306	0.000000	0.000000	3.400058	6.968369
0.000000	7.040620	0.000000	0.000000	3.400058	7.096308
0.000000	7.141500	0.000000	0.000000	3.398274	7.178125
0.000000	7.241853	0.000000	0.000000	3.399761	7.278493
0.000000	7.342291	0.000000	0.000000	3.399464	7.400675
0.000000	7.442508	0.000000	0.000000	3.400356	7.483147
0.000000	7.543052	0.000000	0.000000	3.399464	7.584043
0.000000	7.643735	0.000000	0.000000	3.399464	7.686672
0.000000	7.744141	0.000000	0.000000	3.400356	7.787050
0.000000	7.844460	0.000000	0.000000	3.399166	7.889487
0.000000	7.944523	0.000000	0.000000	3.399166	7.989733
0.000000	8.044703	0.000000	0.000000	3.399166	8.097912
0.000000	8.145057	0.000000	0.000000	3.400356	8.179728
0.000000	8.245116	0.000000	0.000000	3.399761	8.281648
0.000000	8.345808	0.000000	0.000000	3.400653	8.401961
0.000000	8.445899	0.000000	0.000000	3.399166	8.486759
0.000000	8.546511	0.000000	0.000000	3.399166	8.587409
0.000000	8.652648	0.000000	0.000000	3.398274	8.687895
0.000000	8.753682	0.000000	0.000000	3.398869	8.790375
0.000000	8.853790	0.000000	0.000000	3.400058	8.890442
0.000000	8.954239	0.000000	0.000000	3.399761	8.993004
0.000000	9.054787	0.000000	0.000000	3.398869	9.093964
0.000000	9.155489	0.000000	0.000000	3.399761	9.194517
0.000000	9.255606	0.000000	0.000000	3.398572	9.296650
0.000000	9.356533	0.000000	0.000000	3.398572	9.397338
0.000000	9.457361	0.000000	0.000000	3.399464	9.498276
0.000000	9.558193	0.000000	0.000000	3.400058	9.599341
0.000000	9.658730	0.000000	0.000000	3.398869	9.703463
0.000000	9.759342	0.000000	0.000000	3.399464	9.806885
0.000000	9.859585	0.000000	0.000000	3.400058	9.917198
0.000000	9.959717	0.000000	0.000000	3.398869	9.998451
0.000000	10.059758	0.000000	0.000000	3.400356	10.098466
