Freq.	V(rs)/V(inp)
1.00000000000000e-003	(1.63146623876174e+002dB,1.06027935147459e+002°)
1.02329299228075e-003	(1.62961677176787e+002dB,1.05714096820825e+002°)
1.04712854805090e-003	(1.62776228151996e+002dB,1.05406975816752e+002°)
1.07151930523761e-003	(1.62590300819231e+002dB,1.05106479114244e+002°)
1.09647819614318e-003	(1.62403918947583e+002dB,1.04812499912170e+002°)
1.12201845430196e-003	(1.62217104814585e+002dB,1.04524947608007e+002°)
1.14815362149688e-003	(1.62029880836347e+002dB,1.04243708968576e+002°)
1.17489755493953e-003	(1.61842268112244e+002dB,1.03968683969274e+002°)
1.20226443461741e-003	(1.61654287005968e+002dB,1.03699772674398e+002°)
1.23026877081238e-003	(1.61465957615274e+002dB,1.03436862090774e+002°)
1.25892541179417e-003	(1.61277299127718e+002dB,1.03179844881300e+002°)
1.28824955169313e-003	(1.61088329887346e+002dB,1.02928616002013e+002°)
1.31825673855641e-003	(1.60899067980135e+002dB,1.02683058962103e+002°)
1.34896288259165e-003	(1.60709530534063e+002dB,1.02443066003635e+002°)
1.38038426460288e-003	(1.60519733920003e+002dB,1.02208529281596e+002°)
1.41253754462275e-003	(1.60329694365462e+002dB,1.01979328358766e+002°)
1.44543977074593e-003	(1.60139426810331e+002dB,1.01755360576501e+002°)
1.47910838816821e-003	(1.59948946181844e+002dB,1.01536503538909e+002°)
1.51356124843621e-003	(1.59758266392906e+002dB,1.01322647698714e+002°)
1.54881661891248e-003	(1.59567400806437e+002dB,1.01113680942651e+002°)
1.58489319246111e-003	(1.59376362373529e+002dB,1.00909484414206e+002°)
1.62181009735893e-003	(1.59185163144429e+002dB,1.00709949368745e+002°)
1.65958690743756e-003	(1.58993814926048e+002dB,1.00514954031725e+002°)
1.69824365246174e-003	(1.58802328477075e+002dB,1.00324392463772e+002°)
1.73780082874937e-003	(1.58610714282928e+002dB,1.00138148630431e+002°)
1.77827941003892e-003	(1.58418982207221e+002dB,9.99561070273303e+001°)
1.81970085860998e-003	(1.58227141388094e+002dB,9.97781580230163e+001°)
1.86208713666287e-003	(1.58035200571095e+002dB,9.96041844552046e+001°)
1.90546071796324e-003	(1.57843167736629e+002dB,9.94340774018453e+001°)
1.94984459975804e-003	(1.57651050325370e+002dB,9.92677279162190e+001°)
1.99526231496888e-003	(1.57458855381501e+002dB,9.91050197429985e+001°)
2.04173794466953e-003	(1.57266589170697e+002dB,9.89458459863247e+001°)
2.08929613085404e-003	(1.57074257471179e+002dB,9.87900985516233e+001°)
2.13796208950223e-003	(1.56881865468391e+002dB,9.86376711396410e+001°)
2.18776162394955e-003	(1.56689417853488e+002dB,9.84884567880981e+001°)
2.23872113856834e-003	(1.56496918738501e+002dB,9.83423515819869e+001°)
2.29086765276777e-003	(1.56304371762472e+002dB,9.81992496666561e+001°)
2.34422881531992e-003	(1.56111779860996e+002dB,9.80590558537781e+001°)
2.39883291901949e-003	(1.55919145693080e+002dB,9.79216658540338e+001°)
2.45470891568503e-003	(1.55726471223975e+002dB,9.77869852349344e+001°)
2.51188643150958e-003	(1.55533758085229e+002dB,9.76549151335711e+001°)
2.57039578276886e-003	(1.55341007318435e+002dB,9.75253648098142e+001°)
2.63026799189538e-003	(1.55148219541224e+002dB,9.73982438456500e+001°)
2.69153480392691e-003	(1.54955394963275e+002dB,9.72734631111704e+001°)
2.75422870333816e-003	(1.54762533313688e+002dB,9.71509390478228e+001°)
2.81838293126445e-003	(1.54569634014291e+002dB,9.70305859211391e+001°)
2.88403150312660e-003	(1.54376696057019e+002dB,9.69123249448842e+001°)
2.95120922666638e-003	(1.54183718082283e+002dB,9.67960792558880e+001°)
3.01995172040201e-003	(1.53990698423897e+002dB,9.66817739862302e+001°)
3.09029543251358e-003	(1.53797635096582e+002dB,9.65693394168834e+001°)
3.16227766016837e-003	(1.53604525880994e+002dB,9.64587058107473e+001°)
3.23593656929628e-003	(1.53411368291356e+002dB,9.63498096154149e+001°)
3.31131121482590e-003	(1.53218159632257e+002dB,9.62425883630658e+001°)
3.38844156139202e-003	(1.53024896987316e+002dB,9.61369859129649e+001°)
3.46736850452531e-003	(1.52831577375787e+002dB,9.60329447846547e+001°)
3.54813389233575e-003	(1.52638197602915e+002dB,9.59304146144106e+001°)
3.63078054770101e-003	(1.52444754429003e+002dB,9.58293463194736e+001°)
3.71535229097172e-003	(1.52251244535264e+002dB,9.57296942012212e+001°)
3.80189396320560e-003	(1.52057664540341e+002dB,9.56314177993345e+001°)
3.89045144994280e-003	(1.51864011098149e+002dB,9.55344765210796e+001°)
3.98107170553496e-003	(1.51670280843454e+002dB,9.54388346577090e+001°)
4.07380277804112e-003	(1.51476470461960e+002dB,9.53444600684314e+001°)
4.16869383470334e-003	(1.51282576741968e+002dB,9.52513197222122e+001°)
4.26579518801592e-003	(1.51088596480567e+002dB,9.51593894640773e+001°)
4.36515832240165e-003	(1.50894526653378e+002dB,9.50686429440613e+001°)
4.46683592150962e-003	(1.50700364355036e+002dB,9.49790567166297e+001°)
4.57088189614874e-003	(1.50506106793914e+002dB,9.48906129970343e+001°)
4.67735141287197e-003	(1.50311751386379e+002dB,9.48032920432918e+001°)
4.78630092322637e-003	(1.50117295701439e+002dB,9.47170781205161e+001°)
4.89778819368445e-003	(1.49922737473553e+002dB,9.46319591201106e+001°)
5.01187233627271e-003	(1.49728074695929e+002dB,9.45479207686028e+001°)
5.12861383991363e-003	(1.49533305509621e+002dB,9.44649541011600e+001°)
5.24807460249771e-003	(1.49338428302014e+002dB,9.43830493445918e+001°)
5.37031796370251e-003	(1.49143441670164e+002dB,9.43021985564773e+001°)
5.49540873857623e-003	(1.48948344414018e+002dB,9.42223965018060e+001°)
5.62341325190347e-003	(1.48753135576088e+002dB,9.41436372276400e+001°)
5.75439937337155e-003	(1.48557814403600e+002dB,9.40659158228231e+001°)
5.88843655355587e-003	(1.48362380375139e+002dB,9.39892279719090e+001°)
6.02559586074356e-003	(1.48166833159922e+002dB,9.39135724689823e+001°)
6.16595001861480e-003	(1.47971172656357e+002dB,9.38389451237311e+001°)
6.30957344480191e-003	(1.47775398958264e+002dB,9.37653443525709e+001°)
6.45654229034654e-003	(1.47579512347620e+002dB,9.36927678134530e+001°)
6.60693448007594e-003	(1.47383513307902e+002dB,9.36212142525836e+001°)
6.76082975391980e-003	(1.47187402496975e+002dB,9.35506813000229e+001°)
6.91830970918934e-003	(1.46991180722878e+002dB,9.34811686837410e+001°)
7.07945784384136e-003	(1.46794848980996e+002dB,9.34126743542559e+001°)
7.24435960074988e-003	(1.46598408404072e+002dB,9.33451965280070e+001°)
7.41310241300915e-003	(1.46401860265323e+002dB,9.32787336229325e+001°)
7.58577575029181e-003	(1.46205205974384e+002dB,9.32132828948177e+001°)
7.76247116628689e-003	(1.46008447061575e+002dB,9.31488412856583e+001°)
7.94328234724279e-003	(1.45811585136761e+002dB,9.30854083945234e+001°)
8.12830516164097e-003	(1.45614621950817e+002dB,9.30229791144982e+001°)
8.31763771102668e-003	(1.45417559309685e+002dB,9.29615507397255e+001°)
8.51138038202373e-003	(1.45220399115898e+002dB,9.29011194310288e+001°)
8.70963589956078e-003	(1.45023143329978e+002dB,9.28416809741979e+001°)
8.91250938133742e-003	(1.44825793974885e+002dB,9.27832307906762e+001°)
9.12010839355906e-003	(1.44628353124903e+002dB,9.27257632925041e+001°)
9.33254300796988e-003	(1.44430822897370e+002dB,9.26692730238241e+001°)
9.54992586021432e-003	(1.44233205432080e+002dB,9.26137544069255e+001°)
9.77237220955807e-003	(1.44035502906944e+002dB,9.25592005180273e+001°)
9.99999999999996e-003	(1.43837717507873e+002dB,9.25056051850000e+001°)
1.02329299228075e-002	(1.43639851437620e+002dB,9.24529603682647e+001°)
1.04712854805090e-002	(1.43441906901171e+002dB,9.24012584254934e+001°)
1.07151930523760e-002	(1.43243886100435e+002dB,9.23504918659708e+001°)
1.09647819614318e-002	(1.43045791236140e+002dB,9.23006513286999e+001°)
1.12201845430196e-002	(1.42847624487407e+002dB,9.22517289519717e+001°)
1.14815362149688e-002	(1.42649388022999e+002dB,9.22037150900691e+001°)
1.17489755493952e-002	(1.42451083988220e+002dB,9.21566005221803e+001°)
1.20226443461741e-002	(1.42252714508594e+002dB,9.21103750791425e+001°)
1.23026877081238e-002	(1.42054281672566e+002dB,9.20650293512100e+001°)
1.25892541179416e-002	(1.41855787545268e+002dB,9.20205520803713e+001°)
1.28824955169313e-002	(1.41657234149667e+002dB,9.19769337477832e+001°)
1.31825673855640e-002	(1.41458623479680e+002dB,9.19341630704535e+001°)
1.34896288259165e-002	(1.41259957487689e+002dB,9.18922289587177e+001°)
1.38038426460288e-002	(1.41061238085267e+002dB,9.18511204984420e+001°)
1.41253754462275e-002	(1.40862467140205e+002dB,9.18108263716314e+001°)
1.44543977074592e-002	(1.40663646481117e+002dB,9.17713353182087e+001°)
1.47910838816820e-002	(1.40464777889488e+002dB,9.17326358647771e+001°)
1.51356124843620e-002	(1.40265863105417e+002dB,9.16947158306266e+001°)
1.54881661891247e-002	(1.40066903820016e+002dB,9.16575639528092e+001°)
1.58489319246111e-002	(1.39867901680824e+002dB,9.16211682903513e+001°)
1.62181009735892e-002	(1.39668858288470e+002dB,9.15855169203826e+001°)
1.65958690743755e-002	(1.39469775197429e+002dB,9.15505981870457e+001°)
1.69824365246174e-002	(1.39270653916297e+002dB,9.15164003321065e+001°)
1.73780082874937e-002	(1.39071495909958e+002dB,9.14829109462603e+001°)
1.77827941003891e-002	(1.38872302595352e+002dB,9.14501187310702e+001°)
1.81970085860997e-002	(1.38673075345885e+002dB,9.14180116422284e+001°)
1.86208713666286e-002	(1.38473815491335e+002dB,9.13865777326857e+001°)
1.90546071796324e-002	(1.38274524315909e+002dB,9.13558053656778e+001°)
1.94984459975804e-002	(1.38075203062593e+002dB,9.13256828901893e+001°)
1.99526231496887e-002	(1.37875852931626e+002dB,9.12961985576872e+001°)
2.04173794466952e-002	(1.37676475081355e+002dB,9.12673409385950e+001°)
2.08929613085403e-002	(1.37477070631230e+002dB,9.12390983323952e+001°)
2.13796208950222e-002	(1.37277640658793e+002dB,9.12114595580603e+001°)
2.18776162394954e-002	(1.37078186204525e+002dB,9.11844132774935e+001°)
2.23872113856833e-002	(1.36878708270103e+002dB,9.11579484734188e+001°)
2.29086765276776e-002	(1.36679207821830e+002dB,9.11320537364457e+001°)
2.34422881531991e-002	(1.36479685788499e+002dB,9.11067185138104e+001°)
2.39883291901948e-002	(1.36280143065239e+002dB,9.10819317881288e+001°)
2.45470891568502e-002	(1.36080580512582e+002dB,9.10576830370841e+001°)
2.51188643150957e-002	(1.35880998959896e+002dB,9.10339613251735e+001°)
2.57039578276885e-002	(1.35681399202396e+002dB,9.10107565280459e+001°)
2.63026799189537e-002	(1.35481782005367e+002dB,9.09880585041219e+001°)
2.69153480392690e-002	(1.35282148105449e+002dB,9.09658566693777e+001°)
2.75422870333815e-002	(1.35082498207881e+002dB,9.09441415089257e+001°)
2.81838293126444e-002	(1.34882832992338e+002dB,9.09229028523288e+001°)
2.88403150312659e-002	(1.34683153110226e+002dB,9.09021310666593e+001°)
2.95120922666637e-002	(1.34483459187255e+002dB,9.08818164753149e+001°)
3.01995172040200e-002	(1.34283751822889e+002dB,9.08619500387117e+001°)
3.09029543251357e-002	(1.34084031594174e+002dB,9.08425221410071e+001°)
3.16227766016836e-002	(1.33884299053018e+002dB,9.08235238660464e+001°)
3.23593656929626e-002	(1.33684554729605e+002dB,9.08049461988843e+001°)
3.31131121482589e-002	(1.33484799132195e+002dB,9.07867802931014e+001°)
3.38844156139201e-002	(1.33285032748051e+002dB,9.07690174685402e+001°)
3.46736850452530e-002	(1.33085256043941e+002dB,9.07516493811754e+001°)
3.54813389233573e-002	(1.32885469467398e+002dB,9.07346676647541e+001°)
3.63078054770099e-002	(1.32685673447505e+002dB,9.07180639485195e+001°)
3.71535229097170e-002	(1.32485868395228e+002dB,9.07018303556452e+001°)
3.80189396320559e-002	(1.32286054704217e+002dB,9.06859588353471e+001°)
3.89045144994278e-002	(1.32086232751483e+002dB,9.06704416575404e+001°)
3.98107170553495e-002	(1.31886402897900e+002dB,9.06552713922409e+001°)
4.07380277804110e-002	(1.31686565489457e+002dB,9.06404403528392e+001°)
4.16869383470333e-002	(1.31486720857245e+002dB,9.06259413074150e+001°)
4.26579518801590e-002	(1.31286869318489e+002dB,9.06117668827205e+001°)
4.36515832240163e-002	(1.31087011175872e+002dB,9.05979103234731e+001°)
4.46683592150960e-002	(1.30887146720064e+002dB,9.05843645905322e+001°)
4.57088189614872e-002	(1.30687276229076e+002dB,9.05711229279460e+001°)
4.67735141287195e-002	(1.30487399968818e+002dB,9.05581786321662e+001°)
4.78630092322635e-002	(1.30287518193797e+002dB,9.05455252256716e+001°)
4.89778819368443e-002	(1.30087631147375e+002dB,9.05331563227350e+001°)
5.01187233627269e-002	(1.29887739062485e+002dB,9.05210657905690e+001°)
5.12861383991362e-002	(1.29687842161763e+002dB,9.05092474227093e+001°)
5.24807460249769e-002	(1.29487940658709e+002dB,9.04976951868237e+001°)
5.37031796370249e-002	(1.29288034756920e+002dB,9.04864032174422e+001°)
5.49540873857621e-002	(1.29088124651506e+002dB,9.04753658091674e+001°)
5.62341325190346e-002	(1.28888210528681e+002dB,9.04645773393150e+001°)
5.75439937337153e-002	(1.28688292567019e+002dB,9.04540322698198e+001°)
5.88843655355585e-002	(1.28488370936744e+002dB,9.04437252163991e+001°)
6.02559586074354e-002	(1.28288445801081e+002dB,9.04336509092550e+001°)
6.16595001861478e-002	(1.28088517315916e+002dB,9.04238041585052e+001°)
6.30957344480189e-002	(1.27888585630091e+002dB,9.04141798556435e+001°)
6.45654229034651e-002	(1.27688650886202e+002dB,9.04047730673073e+001°)
6.60693448007592e-002	(1.27488713220282e+002dB,9.03955790257679e+001°)
6.76082975391978e-002	(1.27288772762744e+002dB,9.03865928255604e+001°)
6.91830970918932e-002	(1.27088829637935e+002dB,9.03778099952306e+001°)
7.07945784384133e-002	(1.26888883964662e+002dB,9.03692258678640e+001°)
7.24435960074985e-002	(1.26688935856957e+002dB,9.03608360240751e+001°)
7.41310241300913e-002	(1.26488985422999e+002dB,9.03526362467749e+001°)
7.58577575029179e-002	(1.26289032767035e+002dB,9.03446220347267e+001°)
7.76247116628687e-002	(1.26089077988078e+002dB,9.03367894123592e+001°)
7.94328234724276e-002	(1.25889121181149e+002dB,9.03291342032102e+001°)
8.12830516164094e-002	(1.25689162436836e+002dB,9.03216525011375e+001°)
8.31763771102666e-002	(1.25489201841658e+002dB,9.03143403611711e+001°)
8.51138038202371e-002	(1.25289239478591e+002dB,9.03071939753959e+001°)
8.70963589956075e-002	(1.25089275426448e+002dB,9.03002096198051e+001°)
8.91250938133740e-002	(1.24889309760991e+002dB,9.02933836748822e+001°)
9.12010839355904e-002	(1.24689342554523e+002dB,9.02867124903107e+001°)
9.33254300796985e-002	(1.24489373875736e+002dB,9.02801927370981e+001°)
9.54992586021430e-002	(1.24289403790921e+002dB,9.02738207950600e+001°)
9.77237220955804e-002	(1.24089432362666e+002dB,9.02675934848902e+001°)
9.99999999999993e-002	(1.23889459651453e+002dB,9.02615074686488e+001°)
1.02329299228075e-001	(1.23689485714752e+002dB,9.02555596045615e+001°)
1.04712854805089e-001	(1.23489510607345e+002dB,9.02497467606623e+001°)
1.07151930523760e-001	(1.23289534381691e+002dB,9.02440658757180e+001°)
1.09647819614318e-001	(1.23089557088190e+002dB,9.02385139758036e+001°)
1.12201845430196e-001	(1.22889578774478e+002dB,9.02330881351740e+001°)
1.14815362149687e-001	(1.22689599486414e+002dB,9.02277854942250e+001°)
1.17489755493952e-001	(1.22489619267567e+002dB,9.02226032918806e+001°)
